Id,NG_Request__c
a0H1V00000blcI3UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""721296258"", ""ng_originaljob"": ""721296258"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550901"", ""lead"": ""70046603"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00151800"", ""workorderid"": ""5550101"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CvRrWAK"", ""ng_sfordertype"": ""Turn On - Meter"", ""ng_statusdate"": ""2019-07-23T08:03:37.000Z"", ""ng_sfstatusseqnum"": 2}]}"
a0H1V00000blcI4UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""325108734"", ""ng_originaljob"": ""325108734"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550902"", ""lead"": ""null"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00149540"", ""workorderid"": ""5550102"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CstiWAC"", ""ng_sfordertype"": ""Turn Off - Meter"", ""ng_statusdate"": ""2019-07-23T10:36:05.000Z"", ""ng_sfstatusseqnum"": 2}]}"
a0H1V00000blcI5UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""37139290"", ""ng_originaljob"": ""37139290"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550903"", ""lead"": ""70018869"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00150401"", ""workorderid"": ""5550103"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CtyUWAS"", ""ng_sfordertype"": ""Install - Meter"", ""ng_statusdate"": ""2019-07-24T06:43:13.000Z"", ""ng_sfstatusseqnum"": 2}]}"
a0H1V00000blcI6UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""728280432"", ""ng_originaljob"": ""728280432"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550904"", ""lead"": ""70018869"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00145655"", ""workorderid"": ""5550104"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CqK7WAK"", ""ng_sfordertype"": ""Turn Off - Meter"", ""ng_statusdate"": ""2019-07-24T06:49:00.000Z"", ""ng_sfstatusseqnum"": 4}]}"
a0H1V00000blcZ3UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""728280432"", ""ng_originaljob"": ""728280432"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550905"", ""lead"": ""70018869"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00145655"", ""workorderid"": ""5550105"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CqK7WAK"", ""ng_sfordertype"": ""Turn Off - Meter"", ""ng_statusdate"": ""2019-07-24T06:49:00.000Z"", ""ng_sfstatusseqnum"": 5}]}"
a0H1V00000blcZ4UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""266244443"", ""ng_originaljob"": ""266244443"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550906"", ""lead"": ""70711875"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00153649"", ""workorderid"": ""5550106"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CxX3WAK"", ""ng_sfordertype"": ""Turn On - Meter"", ""ng_statusdate"": ""2019-07-24T07:44:29.000Z"", ""ng_sfstatusseqnum"": 2}]}"
a0H1V00000blcZ5UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""986471900"", ""ng_originaljob"": ""986471900"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550907"", ""lead"": ""70711875"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00152397"", ""workorderid"": ""5550107"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000Cw5SWAS"", ""ng_sfordertype"": ""Turn On - Meter"", ""ng_statusdate"": ""2019-07-24T07:49:51.000Z"", ""ng_sfstatusseqnum"": 4}]}"
a0H1V00000blcZ6UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""208830825"", ""ng_originaljob"": ""208830825"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550908"", ""lead"": ""70046872"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00152342"", ""workorderid"": ""5550108"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000Cw1aWAC"", ""ng_sfordertype"": ""Turn On - Meter"", ""ng_statusdate"": ""2019-07-24T07:44:29.000Z"", ""ng_sfstatusseqnum"": 3}]}"
a0H1V00000blcZ7UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""185833631"", ""ng_originaljob"": ""185833631"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550909"", ""lead"": ""70046872"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00153792"", ""workorderid"": ""5550109"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CxhXWAS"", ""ng_sfordertype"": ""Turn On - Meter"", ""ng_statusdate"": ""2019-07-24T07:44:29.000Z"", ""ng_sfstatusseqnum"": 2}]}"
a0H1V00000blcZ8UAI,"{""member"": [{""woserviceaddress"": {""ng_cssrirefid"": ""185833631"", ""ng_originaljob"": ""185833631"", ""ng_companycode"": ""Massachusetts Electric Company""}, ""worktype"": ""NG_CMS_E"", ""wonum"": ""5550910"", ""lead"": ""70046872"", ""ng_sfcommodity"": ""Electric"", ""sfwonum"": ""00153792"", ""workorderid"": ""5550110"", ""ng_fieldresp"": """", ""status"": ""Dispatched"", ""wosfdcid"": ""0WO1V000000CxhXWAS"", ""ng_sfordertype"": ""Turn On - Meter"", ""ng_statusdate"": ""2019-07-24T07:44:29.000Z"", ""ng_sfstatusseqnum"": 3}]}"
